criteria,attempts_per_game,fg_percent,expected_fgs
"Avg per team, per game",1.9305613305613305,0.8440663364204178,1.6295218295218294
in a dome,2.0071301247771838,0.8454706927175843,1.696969696969697
in below freezing temperature,1.803191489361702,0.8348082595870207,1.5053191489361701
in the cold (32f-55f),1.9210069444444444,0.8431992769995481,1.6197916666666665
in the heat (over 80f),1.9578651685393258,0.8321377331420373,1.6292134831460674
in low wind(under 5 mph),1.9061696658097687,0.8718813216453135,1.6619537275064267
in medium wind (5-10 mph),2.0050420168067227,0.8419949706621962,1.688235294117647
in high wind (over 10mph),1.920042643923241,0.8334258745141588,1.6002132196162049
with over/under below 40,1.9351851851851851,0.8341307814992025,1.6141975308641974
with over/under between 40 and 45,1.9595842956120093,0.8461991750147319,1.6581986143187066
with over/under between 45 and 50,1.9691435768261965,0.8423409018228334,1.6586901763224182
with over/under over 50,1.9357541899441342,0.8492063492063492,1.643854748603352
in home games,1.9355509355509355,0.8481203007518797,1.6415800415800417
in away games,1.9255717255717255,0.8399913625566833,1.6174636174636174
"in all games at ""MetLife Stadium""",2.2595419847328246,0.8716216216216216,1.969465648854962
"in all games at ""Soldier Field""",1.856164383561644,0.8265682656826568,1.534246575342466
"in all games at ""FirstEnergy Stadium""",1.7681159420289856,0.8155737704918032,1.4420289855072463
"in all games at ""Arrowhead Stadium""",1.9545454545454546,0.8272425249169435,1.6168831168831168
"in all games at ""Ford Field""",2.0140845070422535,0.8146853146853147,1.6408450704225352
"in all games at ""Mercedes-Benz Superdome""",1.9423076923076923,0.8316831683168316,1.6153846153846152
"in all games at ""NRG Stadium""",2.039473684210526,0.8612903225806452,1.756578947368421
"in all games at ""Nissan Stadium""",1.8732394366197183,0.849624060150376,1.5915492957746478
"in all games at ""Mall of America Field at HHH Metrodome""",2.0357142857142856,0.8947368421052632,1.8214285714285714
"in all games at ""Raymond James Stadium""",1.9859154929577465,0.776595744680851,1.5422535211267605
"in all games at ""University of Phoenix Stadium""",1.9396551724137931,0.8044444444444444,1.5603448275862069
"in all games at ""Lambeau Field""",1.8266666666666667,0.8467153284671532,1.5466666666666666
"in all games at ""Mile High""",1.981012658227848,0.8338658146964856,1.6518987341772151
"in all games at ""M&T Bank Stadium""",2.0945945945945947,0.832258064516129,1.7432432432432434
"in all games at ""O.co Coliseum Oakland""",2.0641025641025643,0.8074534161490683,1.6666666666666667
"in all games at ""Paul Brown Stadium""",2.0555555555555554,0.8716216216216216,1.7916666666666665
"in all games at ""New Era Stadium""",1.9583333333333333,0.8368794326241135,1.6388888888888888
"in all games at ""Lucas Oil Stadium""",2.0273972602739727,0.8445945945945946,1.7123287671232879
"in all games at ""Lincoln Financial Field""",1.9266666666666667,0.8512110726643599,1.6400000000000001
"in all games at ""EverBank Field""",2.0697674418604652,0.8764044943820225,1.8139534883720931
"in all games at ""Bank of America Stadium""",2.0,0.8533333333333334,1.7066666666666668
"in all games at ""Gillette Stadium""",2.0123456790123457,0.8496932515337423,1.7098765432098766
"in all games at ""Edward Jones Dome""",2.1,0.8333333333333334,1.7500000000000002
"in all games at ""CenturyLink Field""",1.8355263157894737,0.8566308243727598,1.5723684210526316
"in all games at ""Qualcomm Stadium""",1.8125,0.8620689655172413,1.5625
"in all games at ""Sun Life Stadium""",2.0125,0.7888198757763976,1.5875000000000001
"in all games at ""Heinz Field""",1.8289473684210527,0.8812949640287769,1.6118421052631577
"in all games at ""Candlestick Park""",2.1176470588235294,0.8194444444444444,1.7352941176470589
"in all games at ""Georgia Dome""",2.0,0.8837209302325582,1.7674418604651163
"in all games at ""AT&T Stadium""",1.9866666666666666,0.8691275167785235,1.7266666666666666
"in all games at ""FedEx Field""",1.82,0.8315018315018315,1.5133333333333334
"in all games at ""Wembley Stadium""",1.5625,0.84,1.3125
"in all games at ""Rogers Centre""",1.75,1.0,1.75
"in all games at ""TCF Bank Stadium""",2.0294117647058822,0.8695652173913043,1.7647058823529411
"in all games at ""Levi's Stadium""",1.9272727272727272,0.8726415094339622,1.6818181818181817
"in all games at ""Los Angeles Memorial Coliseum""",2.0517241379310347,0.8487394957983193,1.7413793103448276
"in all games at ""U.S. Bank Stadium""",2.0,0.8658536585365854,1.7317073170731707
"in all games at ""Twickenham Stadium""",2.1666666666666665,0.8461538461538461,1.8333333333333333
"in all games at ""New Era Field""",1.8823529411764706,0.8046875,1.5147058823529411
"in all games at ""StubHub Center""",2.392857142857143,0.8208955223880597,1.9642857142857144
"in all games at ""Oakland-Alameda County Coliseum""",1.8095238095238095,0.7763157894736842,1.4047619047619047
"in all games at ""Mercedes-Benz Stadium""",2.1666666666666665,0.8811188811188811,1.909090909090909
"in all games at ""Hard Rock Stadium""",1.8064516129032258,0.8035714285714286,1.4516129032258065
"in all games at ""Azteca Stadium""",2.25,0.8888888888888888,2.0
"in all games at ""TIAA Bank Field""",1.8695652173913044,0.8953488372093024,1.673913043478261
"in all games at ""Dignity Health Sports Park""",2.0714285714285716,0.7586206896551724,1.5714285714285714
"in all games at ""State Farm Stadium""",2.0588235294117645,0.8428571428571429,1.7352941176470587
"in all games at ""SoFi Stadium""",2.392857142857143,0.8507462686567164,2.0357142857142856
"in all games at ""Allegiant Stadium""",2.125,0.9411764705882353,2.0
in home games at MetLife Stadium,2.0381679389312977,0.8689138576779026,1.7709923664122138
in home games at Soldier Field,1.7808219178082192,0.8153846153846154,1.452054794520548
in home games at FirstEnergy Stadium,1.6521739130434783,0.7894736842105263,1.3043478260869565
in home games at Arrowhead Stadium,2.038961038961039,0.8343949044585988,1.7012987012987013
in home games at Ford Field,1.9859154929577465,0.8723404255319149,1.7323943661971832
in home games at Mercedes-Benz Superdome,1.8846153846153846,0.8027210884353742,1.5128205128205128
